X,Y
58.18,-7.06
58.15,-7.13
58.12,-7.21
58.09,-7.28
58.06,-7.36
58.03,-7.43
58.0,-7.51
57.97,-7.58
57.94,-7.66
57.91,-7.73
57.88,-7.81
57.85,-7.88
57.82,-7.96
57.79,-8.03
57.76,-8.11
57.73,-8.18
57.7,-8.26
57.67,-8.33
57.64,-8.41
57.61,-8.48
57.58,-8.56
57.55,-8.63
57.52,-8.71
57.49,-8.78
57.46,-8.86
57.43,-8.93
57.4,-9.01
57.37,-9.08
57.34,-9.16
57.31,-9.23
57.28,-9.31
57.25,-9.38
57.22,-9.46
57.19,-9.53
57.16,-9.61
57.13,-9.68
57.1,-9.76
57.07,-9.83
57.04,-9.91
57.01,-9.98
56.98,-10.06
56.95,-10.14
56.92,-10.21
56.89,-10.29
56.86,-10.36
56.83,-10.44
56.8,-10.51
56.77,-10.59
56.74,-10.66
56.71,-10.74
56.68,-10.81
56.65,-10.89
56.62,-10.96
56.59,-11.04
56.56,-11.11
56.53,-11.19
56.5,-11.26
56.47,-11.34
56.44,-11.41
56.41,-11.49
56.38,-11.56
56.35,-11.64
56.32,-11.71
56.29,-11.79
56.26,-11.86
56.23,-11.94
56.2,-12.01
56.17,-12.09
56.14,-12.16
56.11,-12.24
56.08,-12.31
56.05,-12.39
56.02,-12.46
55.99,-12.54
55.96,-12.61
55.93,-12.69
55.9,-12.76
55.87,-12.84
55.84,-12.91
55.81,-12.99
55.78,-13.06
55.75,-13.14
55.72,-13.21
55.69,-13.29
55.66,-13.36
55.63,-13.44
55.6,-13.51
55.57,-13.59
55.54,-13.66
55.51,-13.74
55.48,-13.81
55.45,-13.89
55.42,-13.96
55.39,-14.04
55.36,-14.11
55.33,-14.19
55.3,-14.26
55.27,-14.34
55.24,-14.41
55.21,-14.49
55.18,-14.56
55.15,-14.64
55.12,-14.71
55.09,-14.79
55.06,-14.86
55.03,-14.94
54.99,-15.01
54.95,-15.09
54.9,-15.16
54.86,-15.24
54.81,-15.31
54.77,-15.39
54.72,-15.46
54.68,-15.54
54.63,-15.61
54.59,-15.69
54.54,-15.76
54.5,-15.84
54.45,-15.91
54.41,-15.99
54.36,-16.06
54.32,-16.14
54.27,-16.21
54.23,-16.29
54.18,-16.36
54.14,-16.44
54.09,-16.51
54.05,-16.59
54.0,-16.66
53.96,-16.74
53.91,-16.81
53.87,-16.89
